date,strategy,cost_bps,gross_return,net_return
2025-09-19,Minimum CVaR,5,0.00255741552135227,0.00255741552135227
2025-09-22,Minimum CVaR,5,0.00314926905890901,0.00314926905890901
2025-09-23,Minimum CVaR,5,0.00198415694791208,0.00198415694791208
2025-09-24,Minimum CVaR,5,-0.004636540384241,-0.004636540384241
2025-09-25,Minimum CVaR,5,-0.000848619820200766,-0.000848619820200766
2025-09-26,Minimum CVaR,5,0.00223506403644445,0.00223506403644445
2025-09-29,Minimum CVaR,5,0.00632284334012916,0.00632284334012916
2025-09-30,Minimum CVaR,5,0.00183995285244886,0.00183995285244886
2025-10-01,Minimum CVaR,5,0.00308321598500989,0.00306539403864031
2025-10-02,Minimum CVaR,5,0.000352049164998192,0.000352049164998192
2025-10-03,Minimum CVaR,5,0.00102946016793874,0.00102946016793874
2025-10-06,Minimum CVaR,5,0.00274640588986646,0.00274640588986646
2025-10-07,Minimum CVaR,5,0.00214812738193393,0.00214812738193393
2025-10-08,Minimum CVaR,5,0.00445686229580899,0.00445686229580899
2025-10-09,Minimum CVaR,5,-0.00564683461703627,-0.00564683461703627
2025-10-10,Minimum CVaR,5,0.0023571653882901,0.0023571653882901
2025-10-13,Minimum CVaR,5,0.009083965056123,0.009083965056123
2025-10-14,Minimum CVaR,5,0.00379925202509527,0.00379925202509527
2025-10-15,Minimum CVaR,5,0.00434255937051982,0.00434255937051982
2025-10-16,Minimum CVaR,5,0.0069106362242443,0.0069106362242443
2025-10-17,Minimum CVaR,5,-0.0051851485238244,-0.0051851485238244
2025-10-20,Minimum CVaR,5,0.0115675936613439,0.0115675936613439
2025-10-21,Minimum CVaR,5,-0.0145069105464303,-0.0145069105464303
2025-10-22,Minimum CVaR,5,-0.000457931086929682,-0.000457931086929682
2025-10-23,Minimum CVaR,5,0.000201281492181665,0.000201281492181665
2025-10-24,Minimum CVaR,5,0.00110816974481391,0.00110816974481391
2025-10-27,Minimum CVaR,5,-0.00468597541273517,-0.00468597541273517
2025-10-28,Minimum CVaR,5,-0.00114672167089742,-0.00114672167089742
2025-10-29,Minimum CVaR,5,-0.0050944555711204,-0.0050944555711204
2025-10-30,Minimum CVaR,5,0.00109021374891966,0.00109021374891966
2025-10-31,Minimum CVaR,5,-0.00203157192124065,-0.00203157192124065
2025-11-03,Minimum CVaR,5,-0.000515375135474436,-0.000515375135474436
2025-11-04,Minimum CVaR,5,-0.00485742935800859,-0.00485742935800859
2025-11-05,Minimum CVaR,5,0.000654356319309938,0.000654356319309938
2025-11-06,Minimum CVaR,5,0.00170306382692007,0.00170306382692007
2025-11-07,Minimum CVaR,5,0.00111167644106501,0.00111167644106501
2025-11-10,Minimum CVaR,5,0.00800455445041948,0.00800455445041948
2025-11-11,Minimum CVaR,5,0.00348861673404043,0.00348861673404043
2025-11-12,Minimum CVaR,5,0.00364558335475789,0.00364558335475789
2025-11-13,Minimum CVaR,5,-0.00690748537958669,-0.00690748537958669
2025-11-14,Minimum CVaR,5,-0.00575886756891691,-0.00575886756891691
2025-11-17,Minimum CVaR,5,-0.00347190180656147,-0.00347190180656147
2025-11-18,Minimum CVaR,5,0.00157386503679584,0.00157386503679584
2025-11-19,Minimum CVaR,5,0.000493929349613696,0.000493929349613696
2025-11-20,Minimum CVaR,5,-0.000739055479200375,-0.000739055479200375
2025-11-21,Minimum CVaR,5,0.00346197627160972,0.00346197627160972
2025-11-24,Minimum CVaR,5,0.00752416802025198,0.00752416802025198
2025-11-25,Minimum CVaR,5,0.00308185287015578,0.00308185287015578
2025-11-26,Minimum CVaR,5,0.00423288261148065,0.00423288261148065
2025-11-28,Minimum CVaR,5,0.00239620094920472,0.00239620094920472
2025-12-01,Minimum CVaR,5,-0.00538910088808773,-0.00548846381728265
2025-12-02,Minimum CVaR,5,1.09038429277899e-06,1.09038429277899e-06
2025-12-03,Minimum CVaR,5,0.00206929585215893,0.00206929585215893
2025-12-04,Minimum CVaR,5,-0.00228242159688753,-0.00228242159688753
2025-12-05,Minimum CVaR,5,-0.00173171806278885,-0.00173171806278885
2025-12-08,Minimum CVaR,5,-0.00244510515626786,-0.00244510515626786
2025-12-09,Minimum CVaR,5,-0.000166108940345419,-0.000166108940345419
2025-12-10,Minimum CVaR,5,0.00445984746991952,0.00445984746991952
2025-12-11,Minimum CVaR,5,0.000758257849247851,0.000758257849247851
2025-12-12,Minimum CVaR,5,-0.00471993089361399,-0.00471993089361399
2025-12-15,Minimum CVaR,5,0.000893416461007586,0.000893416461007586
2025-12-16,Minimum CVaR,5,0.00215947106556209,0.00215947106556209
2025-12-17,Minimum CVaR,5,-0.000529566350501796,-0.000529566350501796
2025-12-18,Minimum CVaR,5,0.00343673535934855,0.00343673535934855
2025-12-19,Minimum CVaR,5,-0.00115901043710273,-0.00115901043710273
2025-12-22,Minimum CVaR,5,0.00232057857135313,0.00232057857135313
2025-12-23,Minimum CVaR,5,0.00249805932363878,0.00249805932363878
2025-12-24,Minimum CVaR,5,0.0028668428762832,0.0028668428762832
2025-12-26,Minimum CVaR,5,0.00114751994948634,0.00114751994948634
2025-12-29,Minimum CVaR,5,-0.0036765775112631,-0.0036765775112631
2025-12-30,Minimum CVaR,5,-0.000946935711182383,-0.000946935711182383
2025-12-31,Minimum CVaR,5,-0.00504014652639348,-0.00504014652639348
2026-01-02,Minimum CVaR,5,0.000959861372952004,0.000959861372952004
2026-01-05,Minimum CVaR,5,0.00654856258795107,0.00654856258795107
2026-01-06,Minimum CVaR,5,0.00110579953023576,0.00110579953023576
2026-01-07,Minimum CVaR,5,0.000358986872685881,0.000358986872685881
2026-01-08,Minimum CVaR,5,-0.00205025151153906,-0.00205025151153906
2026-01-09,Minimum CVaR,5,0.0041855542559774,0.0041855542559774
2026-01-12,Minimum CVaR,5,0.00139211595456753,0.00139211595456753
2026-01-13,Minimum CVaR,5,0.000750717821539006,0.000750717821539006
2026-01-14,Minimum CVaR,5,0.00361353132826176,0.00361353132826176
2026-01-15,Minimum CVaR,5,-0.00148976873231875,-0.00148976873231875
2026-01-16,Minimum CVaR,5,-0.00367136460196791,-0.00367136460196791
2026-01-20,Minimum CVaR,5,-0.00285624980969048,-0.00285624980969048
2026-01-21,Minimum CVaR,5,0.0068785277831726,0.0068785277831726
2026-01-22,Minimum CVaR,5,0.00396369122108708,0.00396369122108708
2026-01-23,Minimum CVaR,5,0.00307372412064512,0.00307372412064512
2026-01-26,Minimum CVaR,5,0.00365776733830556,0.00365776733830556
2026-01-27,Minimum CVaR,5,0.00205174636008905,0.00205174636008905
2026-01-28,Minimum CVaR,5,0.00305821243849341,0.00305821243849341
2026-01-29,Minimum CVaR,5,0.000752690056880196,0.000752690056880196
2026-01-30,Minimum CVaR,5,-0.0139991003226792,-0.0139991003226792
2026-02-02,Minimum CVaR,5,-0.00539660710598074,-0.00539660710598074
2026-02-03,Minimum CVaR,5,0.00775028438795607,0.00775028438795607
2026-02-04,Minimum CVaR,5,-0.00140850650938355,-0.00140850650938355
2026-02-05,Minimum CVaR,5,0.00108203724311894,0.00108203724311894
2026-02-06,Minimum CVaR,5,0.00594889986746558,0.00594889986746558
2026-02-09,Minimum CVaR,5,0.00369244451575503,0.00369244451575503
2026-02-10,Minimum CVaR,5,0.00303346411720545,0.00303346411720545
2026-02-11,Minimum CVaR,5,-0.00034631236402211,-0.00034631236402211
