date,strategy,cost_bps,turnover
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.09512144169718162
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.04568192515124485
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.04568192515124485
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.04568192515124485
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.04568192515124485
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,0.0,2.1264250322685563e-15
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,5.0,2.1264250322685563e-15
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,10.0,2.1264250322685563e-15
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,25.0,2.1264250322685563e-15
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,4.4521621102127234e-14
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,4.4521621102127234e-14
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,4.4521621102127234e-14
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,4.4521621102127234e-14
2019-02-01,Maximum Sharpe,0.0,0.20484224455734037
2019-02-01,Maximum Sharpe,5.0,0.20484224455734037
2019-02-01,Maximum Sharpe,10.0,0.20484224455734037
2019-02-01,Maximum Sharpe,25.0,0.20484224455734037
2019-02-01,Equal Weight,0.0,0.0
2019-02-01,Equal Weight,5.0,0.0
2019-02-01,Equal Weight,10.0,0.0
2019-02-01,Equal Weight,25.0,0.0
2019-02-01,Minimum Variance,0.0,0.055265049516628015
2019-02-01,Minimum Variance,5.0,0.055265049516628015
2019-02-01,Minimum Variance,10.0,0.055265049516628015
2019-02-01,Minimum Variance,25.0,0.055265049516628015
2019-02-01,SPY,0.0,0.0
2019-02-01,SPY,5.0,0.0
2019-02-01,SPY,10.0,0.0
2019-02-01,SPY,25.0,0.0
2019-02-01,Shrunk Max Sharpe λ=0.25,0.0,0.2758511241420778
2019-02-01,Shrunk Max Sharpe λ=0.25,5.0,0.2758511241420778
2019-02-01,Shrunk Max Sharpe λ=0.25,10.0,0.2758511241420778
2019-02-01,Shrunk Max Sharpe λ=0.25,25.0,0.2758511241420778
2019-02-01,Shrunk Max Sharpe λ=0.50,0.0,0.09196210197488994
2019-02-01,Shrunk Max Sharpe λ=0.50,5.0,0.09196210197488994
2019-02-01,Shrunk Max Sharpe λ=0.50,10.0,0.09196210197488994
2019-02-01,Shrunk Max Sharpe λ=0.50,25.0,0.09196210197488994
2019-02-01,Shrunk Max Sharpe λ=0.75,0.0,0.0717527691340508
2019-02-01,Shrunk Max Sharpe λ=0.75,5.0,0.0717527691340508
2019-02-01,Shrunk Max Sharpe λ=0.75,10.0,0.0717527691340508
2019-02-01,Shrunk Max Sharpe λ=0.75,25.0,0.0717527691340508
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.19204383522529722
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.19204383522529722
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.19204383522529722
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.19204383522529722
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.12027429352351043
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.12027429352351043
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.12027429352351043
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.12027429352351043
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.04523971116188002
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.04523971116188002
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.04523971116188002
