date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2019-07-18,Equal Weight,0.07838803406013617,0.0859852731193418,0.6790469104994001
2019-07-19,Equal Weight,0.0723160453161158,0.08623635923726782,0.606658789619993
2019-07-22,Equal Weight,0.07372571119321814,0.086245006172995,0.6229428644883175
2019-07-23,Equal Weight,0.07750889356595092,0.0862706285077711,0.666610346541878
2019-07-24,Equal Weight,0.08546038320928662,0.08631435250222336,0.7583951140408594
2019-07-25,Equal Weight,0.075760771354626,0.08658939677061323,0.6439676615641943
2019-07-26,Equal Weight,0.07365929764530543,0.086476482980442,0.6205074003465348
2019-07-29,Equal Weight,0.07716532560216449,0.08639702720019037,0.6616584789394065
2019-07-30,Equal Weight,0.08124373539803242,0.08629456462798371,0.7097055957354262
2019-07-31,Equal Weight,0.07876439770651533,0.08642509555818272,0.6799459963218001
2019-08-01,Equal Weight,0.07379541964135372,0.08624807002579427,0.6237289672135862
2019-08-02,Equal Weight,0.07252790012612209,0.08629691917980221,0.6086880114072049
2019-08-05,Equal Weight,0.057789924322038555,0.08741519820980986,0.4323038224009622
2019-08-06,Equal Weight,0.06370756141777845,0.08781914481372308,0.49769969305085365
2019-08-07,Equal Weight,0.06801007041136087,0.08789450177775615,0.5462238187862507
2019-08-08,Equal Weight,0.07813953933079443,0.08856536794171325,0.656459072908242
2019-08-09,Equal Weight,0.0725430110184262,0.08876500997918366,0.5919338152583782
2019-08-12,Equal Weight,0.07021067094891476,0.0887848922528131,0.5655316988608933
2019-08-13,Equal Weight,0.0821913486753294,0.0887765839646883,0.7005377532893874
2019-08-14,Equal Weight,0.07462966057142228,0.08946825037953719,0.6106038772377397
2019-08-15,Equal Weight,0.07614579355014595,0.08952623262305115,0.6271434852681331
2019-08-16,Equal Weight,0.0921245863632818,0.0894645673519342,0.8061804633733858
2019-08-19,Equal Weight,0.08986660172242589,0.08939892123388025,0.7815150424426817
2019-08-20,Equal Weight,0.08471557882057135,0.08930143136449575,0.7246869152234082
2019-08-21,Equal Weight,0.08506964357233349,0.08931259450838026,0.7285606686325516
2019-08-22,Equal Weight,0.07887703395411405,0.08935029162042907,0.6589461868152693
2019-08-23,Equal Weight,0.06781268954269382,0.0897477495918371,0.5327452750641735
2019-08-26,Equal Weight,0.07777820565276516,0.08979215294806946,0.643466090919779
2019-08-27,Equal Weight,0.07127075230792501,0.08952424716127712,0.5727024122924063
2019-08-28,Equal Weight,0.07013149631019044,0.08948872628147402,0.5601990149296457
2019-08-29,Equal Weight,0.07722848084226586,0.08965222568189332,0.6383386514610986
2019-08-30,Equal Weight,0.07394916735245771,0.0895909903443036,0.6021717936717498
2019-09-03,Equal Weight,0.07790547593332975,0.08945417135184887,0.647320019382561
2019-09-04,Equal Weight,0.08682309519837861,0.08982120923192041,0.743956753308006
2019-09-05,Equal Weight,0.09415247725503173,0.08955575093027049,0.8280035227750813
2019-09-06,Equal Weight,0.0989704656300292,0.08946795043084961,0.8826676508149811
2019-09-09,Equal Weight,0.09737864985159628,0.08949806620954734,0.8645846008608149
2019-09-10,Equal Weight,0.09849425295794956,0.08944251664493798,0.8775944137344659
2019-09-11,Equal Weight,0.10279314258656225,0.08957249521570276,0.9243143488096998
2019-09-12,Equal Weight,0.10449070992984111,0.08958347868142638,0.9431505805920308
2019-09-13,Equal Weight,0.09696463082361095,0.08973212881540879,0.8577154230001349
2019-09-16,Equal Weight,0.09435094072263106,0.08966026212021676,0.8292518777487075
2019-09-17,Equal Weight,0.09985323607863061,0.089674659167065,0.890477162894626
2019-09-18,Equal Weight,0.10167639943544238,0.08962630989400554,0.9112993665814766
2019-09-19,Equal Weight,0.10133865388051366,0.08962373928868562,0.9075570214551637
2019-09-20,Equal Weight,0.10374372193133774,0.0896334582318122,0.9342908728876411
