strategy,model,factor,coefficient,hac_se,hac_tstat,hac_pvalue,hac_ci_low,hac_ci_high
Inverse Volatility,FF3,SMB,0.1082725064105007,0.014942166747719553,7.246104814552752,4.2892822627141437e-13,0.07898639773397838,0.137558615087023
Inverse Volatility,FF3,HML,-0.06558006846421441,0.012000344622105249,-5.464848763044069,4.633016328174937e-08,-0.08910031172560962,-0.042059825202819194
Inverse Volatility,FF5,MKT_RF,0.38502983550980424,0.011707994429640161,32.88606241006197,3.477639693876347e-237,0.36208258809651395,0.40797708292309454
Inverse Volatility,FF5,SMB,0.10146607087666028,0.015586429093705641,6.509898467868815,7.520161695277621e-11,0.07091723120540995,0.13201491054791062
Inverse Volatility,FF5,HML,-0.07530255870104402,0.0159235422436355,-4.729008002672383,2.256194916245711e-06,-0.10651212800487173,-0.044092989397216314
Inverse Volatility,FF5,RMW,-0.03545944711788083,0.018476663197781552,-1.9191477778378487,0.05496563435482666,-0.07167304154000934,0.0007541473042476793
Inverse Volatility,FF5,CMA,0.06569225657235322,0.026106528786405462,2.516315252396227,0.011858905515280089,0.014524400389640355,0.1168601127550661
Inverse Volatility,FF5_MOM,MKT_RF,0.3848305053419781,0.011657386688119718,33.0117302992245,5.51294361043088e-239,0.3619824472794068,0.4076785634045494
Inverse Volatility,FF5_MOM,SMB,0.09939983326826932,0.01652237769823168,6.016073175648785,1.7869881683053584e-09,0.06701656804076743,0.1317830984957712
Inverse Volatility,FF5_MOM,HML,-0.07701400998016973,0.017873482457678835,-4.308841892592836,1.641116317960733e-05,-0.1120453918755287,-0.041982628084810764
Inverse Volatility,FF5_MOM,RMW,-0.03685542194852944,0.018511178708370674,-1.9909819103990163,0.04648287603235899,-0.07313666552832064,-0.0005741783687382429
Inverse Volatility,FF5_MOM,CMA,0.06821036149316714,0.02752791672483575,2.4778613716027262,0.013217248784289152,0.014256636143071273,0.12216408684326302
Inverse Volatility,FF5_MOM,MOM,-0.004676412393739579,0.011264185772544729,-0.4151576055446318,0.6780265314572711,-0.026753810823095733,0.017400986035616572
Equal Risk Contribution,CAPM,MKT_RF,0.3383111960481759,0.012108963059567835,27.93890726926126,8.991481973569231e-172,0.314578064561297,0.3620443275350548
Equal Risk Contribution,FF3,MKT_RF,0.3194808846952523,0.012398466387309775,25.76777439363397,2.0378768836298166e-146,0.2951803371125947,0.3437814322779099
Equal Risk Contribution,FF3,SMB,0.10416631466774194,0.016359611671237433,6.367285285315263,1.9240311121135837e-10,0.07210206499105545,0.13623056434442843
