date,strategy,stress_period,rolling_window,RF,strategy_return,actual_excess_return,alpha_component,MKT_RF_component,SMB_component,HML_component,RMW_component,CMA_component,MOM_component,predicted_excess_return,residual_component,factor_component
2022-04-05,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0146823074117484,-0.0146823074117484,-3.951260243230777e-05,-0.004894642838394209,-0.00042581864989388297,-0.0012406550430734662,0.000485480306791359,0.00010667876460754423,0.0002251276947943176,-0.005783342367600645,-0.008898965044147755,-0.005743829765168337
2022-04-06,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0062753868638819,-0.0062753868638819,-3.951260243230777e-05,-0.003934908948512992,-0.00017742443745578457,-0.001634033471365073,0.000161826768930453,0.0006258487523642596,0.0002608622495235744,-0.004737341688947871,-0.001538045174934029,-0.0046978290865155635
2022-04-07,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0022730908617765,-0.0022730908617765,-3.951260243230777e-05,0.0010876984085320465,-0.000360763022826756,0.0001815592745961192,0.00026033001958377224,0.00021335752921508846,0.00021440732837554058,0.0015570769350435032,-0.0038301677968200034,0.001596589537475811
2022-04-08,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0041787651762991,-0.0041787651762991,-3.951260243230777e-05,-0.0012156629271828756,-0.0003134498395052194,-0.003434496277776589,0.00026033001958377224,0.0007396394346123067,0.00017152586270043245,-0.0038316263300004804,-0.00034713884629862003,-0.003792113727568173
2022-04-11,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0090824784778374,-0.0090824784778374,-3.951260243230777e-05,-0.004926633968056917,0.00036667717074195474,-0.0015886436527160434,0.000323653537860906,7.11191764050295e-05,-0.00015187185759934124,-0.005945212195796719,-0.0031372662820406804,-0.005905699593364412
2022-04-12,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.0007633078232092,0.0007633078232092,-3.951260243230777e-05,-0.0009277427602185103,0.0003311922832507979,-0.000711107158834785,-0.00016886271540569008,0.0007609751875338155,0.0001697391349639696,-0.0005853186311427101,0.0013486264543519102,-0.0005458060287104025
2022-04-13,Inverse Volatility,2022_RATE_HIKE,252,0.0,0.00735237833136,0.00735237833136,-3.951260243230777e-05,0.004446767023116307,0.000360763022826756,0.0010742257080270236,-0.0007035946475237087,0.0,-3.2161099256331086e-05,0.00510648740475774,0.0022458909266022597,0.005146000007190048
2022-04-14,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0106623460315498,-0.0106623460315498,-3.951260243230777e-05,-0.0040948645968265284,0.00018925273328617023,-0.0021635813556037543,0.00011961109007903047,0.000696967928769289,0.00013936476344410137,-0.005152762039283999,-0.005509583992265802,-0.005113249436851692
2022-04-18,Inverse Volatility,2022_RATE_HIKE,252,0.0,-0.0032424918466419,-0.0032424918466419,-3.951260243230777e-05,-0.0006078314635914378,-0.00033710643116598475,-0.002723389118941788,0.0005417678785932557,0.0004764984819136976,0.0002769427991517399,-0.002412630456472825,-0.0008298613901690749,-0.0023731178540405172
2022-04-19,Inverse Volatility,2022_RATE_HIKE,252,0.0,-6.144218313894638e-05,-6.144218313894638e-05,-3.951260243230777e-05,0.005630438820636477,0.00023656591660771277,0.0014676041363186304,0.0003799411096628027,-0.0008961016227033716,-0.0002483551553683345,0.006530580602721611,-0.006592022785860557,0.006570093205153918
