strategy,model,window,window_start,window_end,n_obs,alpha_daily,alpha_annualized,alpha_hac_se,alpha_hac_tstat,alpha_hac_pvalue,r_squared,adjusted_r_squared,residual_std,condition_number,beta_MKT_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
Maximum Sharpe,FF5_MOM,504,2023-04-03,2025-04-04,504,8.621867931764908e-05,0.02172710718804757,0.00012402805273169711,0.6951546639546223,0.48695838047118545,0.8676891126629864,0.8660917981277307,0.024532520265908388,272.4494939860344,0.7913511684844694,-0.04606564691121126,-0.09930620966117866,-0.0659584942485906,0.0056971617699330184,-0.01644754227314906
Maximum Sharpe,FF5_MOM,504,2023-04-04,2025-04-07,504,6.078023385891229e-05,0.015316618932445897,0.00012542024248822639,0.4846126323238287,0.627951151232403,0.8642146598150718,0.8625754001750123,0.024915085244086827,271.59345239670125,0.7930882253495402,-0.04051469259649171,-0.10364414050665285,-0.05590696785266734,0.0021773079597426012,-0.019852270932664392
Maximum Sharpe,FF5_MOM,504,2023-04-05,2025-04-08,504,5.9664734491042345e-05,0.015035513091742671,0.0001242547325559142,0.4801807807537103,0.6310988517333527,0.8637347983882019,0.8620897456524458,0.02497932832640517,270.15621703526796,0.7895918213157603,-0.0404895240561925,-0.09431747249845668,-0.05949622544268006,1.0505999774883604e-05,-0.009541889506229993
Maximum Sharpe,FF5_MOM,504,2023-04-06,2025-04-09,504,6.0634865626614946e-05,0.015279986137906966,0.00012507503870903144,0.48478790214627066,0.6278268052201654,0.886026162474784,0.8846502207742785,0.024978090239085083,269.1267487010378,0.7891580732442588,-0.04066624597699313,-0.09345481657621962,-0.059611886019464835,0.0007337645158829315,-0.008822313847091704
Maximum Sharpe,FF5_MOM,504,2023-04-10,2025-04-10,504,8.679972271724569e-05,0.021873530124745914,0.0001261990573343118,0.6878000878192458,0.49157868081968537,0.884396000791972,0.8830003790711507,0.02526085367681662,269.1805355844808,0.7809104602676763,-0.03800040227011489,-0.09523094099430057,-0.060007164771041656,-0.004198088711233727,-0.004306093587954498
Maximum Sharpe,FF5_MOM,504,2023-04-11,2025-04-11,504,0.00010062426131937776,0.025357313852483195,0.00012785642250610953,0.7870098298313446,0.4312761118905021,0.8850523596085805,0.8836646617366519,0.025308927816559048,269.29322350728813,0.7825620285085786,-0.037504395702781995,-0.09711425879453978,-0.058406478964974744,-0.0037719918825905377,-0.005265940136084068
Maximum Sharpe,FF5_MOM,504,2023-04-12,2025-04-14,504,9.581243688556314e-05,0.02414473409516191,0.00012750715291646967,0.7514279371317322,0.4523951547545768,0.8850637421106669,0.8836761816532503,0.025313408544103105,268.934033068264,0.7823969181827279,-0.0374572607006648,-0.09786066911745685,-0.05764981512602864,-0.004084356706335286,-0.005728004882338256
Maximum Sharpe,FF5_MOM,504,2023-04-13,2025-04-15,504,0.0001014009870019213,0.02555304872448417,0.0001286265720980882,0.788336230593122,0.43050006062874324,0.8846821178576139,0.8832899502663577,0.02535257000307774,268.29704921872417,0.7819068049084281,-0.03814766491600267,-0.09598698386648855,-0.061471503271989913,-0.003049974653608123,-0.004055508371019961
Maximum Sharpe,FF5_MOM,504,2023-04-14,2025-04-16,504,0.000127662734396358,0.032171009067882214,0.00013647816652107237,0.935407747997895,0.34957820547155904,0.8777635963762063,0.8762879053867842,0.026034189656395607,268.31914956905126,0.7731133295213511,-0.030567774494102962,-0.08968651352891088,-0.06420689179713988,-0.0136094572340252,0.0007466054273273723
Maximum Sharpe,FF5_MOM,504,2023-04-17,2025-04-17,504,0.00013968730173161487,0.035201200036366946,0.0001358826086487731,1.0279998531134773,0.30394989678510775,0.878377320290265,0.8769090384426625,0.025946693843244696,268.2179478865568,0.7735766529368169,-0.031244909861359155,-0.08868297141971691,-0.061455549787907786,-0.012362962764321452,0.0016285413704668975
